time,x,y,z
15.295,-1.402,-3.232,21.333
15.314,-1.740,-3.390,20.343
15.334,-2.053,-3.626,19.432
15.354,-2.363,-3.942,18.598
15.373,-2.682,-4.345,17.847
15.393,-3.023,-4.845,17.187
15.413,-3.401,-5.446,16.625
15.437,-3.929,-6.318,16.099
15.460,-4.549,-7.370,15.777
15.484,-5.278,-8.615,15.713
15.508,-6.135,-10.046,15.975
15.535,-7.289,-11.873,16.777
15.562,-8.622,-13.798,18.296
15.590,-10.091,-15.589,20.658
15.617,-11.579,-16.861,23.861
15.634,-12.463,-17.184,26.288
15.652,-13.213,-16.982,28.852
15.670,-13.759,-16.188,31.369
15.687,-14.042,-14.811,33.638
15.705,-14.018,-12.938,35.446
15.722,-13.671,-10.770,36.650
15.740,-13.017,-8.523,37.195
15.757,-12.112,-6.378,37.105
15.776,-10.931,-4.344,36.422
15.795,-9.641,-2.732,35.293
15.814,-8.339,-1.571,33.875
15.833,-7.097,-0.808,32.341
15.851,-6.010,-0.365,30.876
15.869,-5.050,-0.143,29.436
15.888,-4.225,-0.079,28.050
15.906,-3.537,-0.122,26.729
15.929,-2.836,-0.271,25.122
15.953,-2.320,-0.481,23.620
15.976,-1.962,-0.719,22.216
16.000,-1.732,-0.975,20.904
16.028,-1.577,-1.316,19.437
16.056,-1.550,-1.688,18.089
16.085,-1.645,-2.101,16.857
16.113,-1.832,-2.598,15.743
16.137,-2.048,-3.113,14.906
16.160,-2.338,-3.731,14.164
16.184,-2.712,-4.479,13.534
16.208,-3.183,-5.388,13.038
16.241,-4.049,-6.997,12.641
16.275,-5.206,-9.108,12.753
16.309,-6.707,-11.750,13.647
16.342,-8.584,-14.740,15.730
16.361,-9.759,-16.376,17.535
16.379,-10.998,-17.835,19.888
16.397,-12.246,-18.918,22.784
16.416,-13.419,-19.403,26.123
16.434,-14.415,-19.064,29.715
16.453,-15.103,-17.795,33.184
16.471,-15.373,-15.641,36.148
16.489,-15.173,-12.786,38.311
16.504,-14.653,-10.167,39.333
16.519,-13.840,-7.556,39.655
16.534,-12.787,-5.148,39.346
16.549,-11.566,-3.073,38.531
16.565,-10.212,-1.351,37.334
16.580,-8.837,-0.060,35.918
16.596,-7.505,0.836,34.400
16.612,-6.260,1.412,32.878
16.629,-4.993,1.786,31.221
16.647,-3.888,1.944,29.652
16.664,-2.945,1.964,28.183
16.682,-2.159,1.907,26.812
16.703,-1.389,1.796,25.267
16.724,-0.789,1.680,23.837
16.745,-0.328,1.590,22.505
16.767,0.031,1.540,21.261
16.791,0.364,1.535,19.925
16.816,0.630,1.600,18.686
16.840,0.850,1.743,17.538
16.864,1.059,1.961,16.475
